X 	 	  	 Taylor 	  	 	 sin(x) 	  	 	 verschil 
1.000000 	 	 0.8414710097001764089 	 	 0.8414709848078965049 	 	 2.4892279903987457601e-08
0.400000 	 	 0.3894183423097001828 	 	 0.3894183423086505225 	 	 1.0496603586318542511e-12
X 	 	  	 Taylor 	  	 	 sin(x) 	  	 	 verschil 
0.400000 	 	 -0.0000000000052538079 	 	 0.3894183423086505225 	 	 -3.8941834231390431986e-01
0.400000 	 	 -0.0000000000052538079 	 	 0.3894183423086505225 	 	 -3.8941834231390431986e-01
X 	 	  	 Taylor 	  	 	 sin(x) 	  	 	 verschil 
0.000000 	 	 0.0000000000000000000 	 	 0.0000000000000000000 	 	 0.0000000000000000000e+00
3.140000 	 	 -0.0366471676629966173 	 	 0.0015926529164868282 	 	 -3.8239820579483448093e-02
1.000000 	 	 -0.0000001252605419272 	 	 0.8414709848078965049 	 	 -8.4147111006843844372e-01
X 	 	  	 Taylor 	  	 	 sin(x) 	  	 	 verschil 
0.000000 	 	 0.0000000000000000000 	 	 0.0000000000000000000 	 	 0.0000000000000000000e+00
1.000000 	 	 0.8414710097001764089 	 	 0.8414709848078965049 	 	 2.4892279903987457601e-08
X 	 	  	 Taylor 	  	 	 sin(x) 	  	 	 verschil 
1.000000 	 	 0.8414710097001764089 	 	 0.8414709848078965049 	 	 2.4892279903987457601e-08
1.000000 	 	 0.8414710097001764089 	 	 0.8414709848078965049 	 	 2.4892279903987457601e-08
1.000000 	 	 0.8414710097001764089 	 	 0.8414709848078965049 	 	 2.4892279903987457601e-08
1.000000 	 	 0.8414710097001764089 	 	 0.8414709848078965049 	 	 2.4892279903987457601e-08
1.000000 	 	 0.8414710097001764089 	 	 0.8414709848078965049 	 	 2.4892279903987457601e-08
1.000000 	 	 0.8414710097001764089 	 	 0.8414709848078965049 	 	 2.4892279903987457601e-08
1.000000 	 	 0.8414710097001764089 	 	 0.8414709848078965049 	 	 2.4892279903987457601e-08
1.000000 	 	 0.8414710097001764089 	 	 0.8414709848078965049 	 	 2.4892279903987457601e-08
1.000000 	 	 0.8414710097001764089 	 	 0.8414709848078965049 	 	 2.4892279903987457601e-08
1.000000 	 	 0.8414710097001764089 	 	 0.8414709848078965049 	 	 2.4892279903987457601e-08
1.000000 	 	 0.8414710097001764089 	 	 0.8414709848078965049 	 	 2.4892279903987457601e-08
1.000000 	 	 0.8414710097001764089 	 	 0.8414709848078965049 	 	 2.4892279903987457601e-08
1.000000 	 	 0.8414710097001764089 	 	 0.8414709848078965049 	 	 2.4892279903987457601e-08
1.000000 	 	 0.8414710097001764089 	 	 0.8414709848078965049 	 	 2.4892279903987457601e-08
1.000000 	 	 0.8414710097001764089 	 	 0.8414709848078965049 	 	 2.4892279903987457601e-08
1.000000 	 	 0.8414710097001764089 	 	 0.8414709848078965049 	 	 2.4892279903987457601e-08
1.000000 	 	 0.8414710097001764089 	 	 0.8414709848078965049 	 	 2.4892279903987457601e-08
1.000000 	 	 0.8414710097001764089 	 	 0.8414709848078965049 	 	 2.4892279903987457601e-08
1.000000 	 	 0.8414710097001764089 	 	 0.8414709848078965049 	 	 2.4892279903987457601e-08
1.000000 	 	 0.8414710097001764089 	 	 0.8414709848078965049 	 	 2.4892279903987457601e-08
1.000000 	 	 0.8414710097001764089 	 	 0.8414709848078965049 	 	 2.4892279903987457601e-08
1.000000 	 	 0.8414710097001764089 	 	 0.8414709848078965049 	 	 2.4892279903987457601e-08
1.000000 	 	 0.8414710097001764089 	 	 0.8414709848078965049 	 	 2.4892279903987457601e-08
1.000000 	 	 0.8414710097001764089 	 	 0.8414709848078965049 	 	 2.4892279903987457601e-08
1.000000 	 	 0.8414710097001764089 	 	 0.8414709848078965049 	 	 2.4892279903987457601e-08
1.000000 	 	 0.8414710097001764089 	 	 0.8414709848078965049 	 	 2.4892279903987457601e-08
1.000000 	 	 0.8414710097001764089 	 	 0.8414709848078965049 	 	 2.4892279903987457601e-08
1.000000 	 	 0.8414710097001764089 	 	 0.8414709848078965049 	 	 2.4892279903987457601e-08
1.000000 	 	 0.8414710097001764089 	 	 0.8414709848078965049 	 	 2.4892279903987457601e-08
1.000000 	 	 0.8414710097001764089 	 	 0.8414709848078965049 	 	 2.4892279903987457601e-08
1.000000 	 	 0.8414710097001764089 	 	 0.8414709848078965049 	 	 2.4892279903987457601e-08
1.000000 	 	 0.8414710097001764089 	 	 0.8414709848078965049 	 	 2.4892279903987457601e-08
1.000000 	 	 0.8414710097001764089 	 	 0.8414709848078965049 	 	 2.4892279903987457601e-08
1.000000 	 	 0.8414710097001764089 	 	 0.8414709848078965049 	 	 2.4892279903987457601e-08
1.000000 	 	 0.8414710097001764089 	 	 0.8414709848078965049 	 	 2.4892279903987457601e-08
1.000000 	 	 0.8414710097001764089 	 	 0.8414709848078965049 	 	 2.4892279903987457601e-08
1.000000 	 	 0.8414710097001764089 	 	 0.8414709848078965049 	 	 2.4892279903987457601e-08
1.000000 	 	 0.8414710097001764089 	 	 0.8414709848078965049 	 	 2.4892279903987457601e-08
1.000000 	 	 0.8414710097001764089 	 	 0.8414709848078965049 	 	 2.4892279903987457601e-08
1.000000 	 	 0.8414710097001764089 	 	 0.8414709848078965049 	 	 2.4892279903987457601e-08
1.000000 	 	 0.8414710097001764089 	 	 0.8414709848078965049 	 	 2.4892279903987457601e-08
1.000000 	 	 0.8414710097001764089 	 	 0.8414709848078965049 	 	 2.4892279903987457601e-08
1.000000 	 	 0.8414710097001764089 	 	 0.8414709848078965049 	 	 2.4892279903987457601e-08
